Transaction_ID,User_ID,Transaction_Date,Transaction_Type,Amount_NPR,Payment_Method,Transaction_Status,Merchant_Category,City,Device_Type
ESW100029,1189,8/5/2024 20:52,Internet Bill,15683.67,Wallet Balance,Success,Others,Butwal,Android
ESW100030,20118,1/15/2024 16:32,Fund Transfer,12368.73,Wallet Balance,Success,Food Delivery,Pokhara,iOS
ESW100031,36773,3/10/2024 19:21,Mobile Recharge,13294.35,Wallet Balance,Failed,Others,Bhaktapur,Android
ESW100032,2899,2/28/2024 9:01,Electricity Bill,2312.53,Wallet Balance,Success,Others,Biratnagar,Android
ESW100033,2267,6/13/2024 2:17,Electricity Bill,1210.44,Linked Bank,Success,Food Delivery,Lalitpur,Android
ESW100034,32551,7/11/2024 3:52,Electricity Bill,19784.82,Debit Card,Success,Transport,Butwal,iOS
ESW100035,12394,12/20/2024 23:28,Fund Transfer,7490.34,Wallet Balance,Success,Food Delivery,Pokhara,Android
ESW100036,4556,8/10/2024 14:51,Mobile Recharge,1072.84,Wallet Balance,Success,Telecom,Chitwan,Android
ESW100037,4890,12/3/2024 12:52,Fund Transfer,3234.94,Wallet Balance,Success,Food Delivery,Chitwan,Android
ESW100038,42606,11/28/2024 2:54,Fund Transfer,17490.41,Linked Bank,Success,Telecom,Bhaktapur,Android
ESW100039,31740,7/12/2024 20:57,QR Payment,4155.68,Wallet Balance,Success,Food Delivery,Chitwan,Android
ESW100040,15502,11/25/2024 2:34,Fund Transfer,9367.49,Linked Bank,Success,Telecom,Chitwan,Android
ESW100041,22777,7/9/2024 2:42,Electricity Bill,13366.11,Linked Bank,Success,Others,Bhaktapur,iOS
ESW100042,11627,8/16/2024 4:10,Electricity Bill,19319.06,Wallet Balance,Success,E-commerce,Pokhara,Android
ESW100043,9792,1/11/2024 19:15,QR Payment,331.15,Wallet Balance,Success,Telecom,Pokhara,iOS
ESW100044,44323,5/30/2024 8:34,QR Payment,9777.27,Debit Card,Success,Others,Chitwan,Android
ESW100045,44021,6/6/2024 18:36,Internet Bill,19920.84,Linked Bank,Pending,Telecom,Chitwan,Android
ESW100046,9433,10/29/2024 21:19,QR Payment,2478.35,Debit Card,Success,Others,Chitwan,Android
ESW100047,44001,7/10/2024 21:45,Fund Transfer,2518.15,Wallet Balance,Success,Transport,Butwal,Android
ESW100048,12016,5/2/2024 16:06,QR Payment,1786.49,Linked Bank,Success,Transport,Butwal,Android
ESW100049,24897,6/18/2024 14:26,Fund Transfer,10181.49,Debit Card,Success,Utility,Kathmandu,Android
ESW100050,3612,8/28/2024 17:42,QR Payment,7000.8,Linked Bank,Pending,Transport,Lalitpur,Android
ESW100051,24483,12/20/2024 0:48,QR Payment,14339.27,Wallet Balance,Success,Others,Kathmandu,iOS
ESW100052,49555,5/19/2024 7:17,Mobile Recharge,11447.37,Linked Bank,Failed,Transport,Butwal,Android
ESW100053,18159,8/4/2024 15:39,QR Payment,11637.76,Wallet Balance,Success,Food Delivery,Chitwan,iOS
ESW100054,45974,8/13/2024 16:40,Electricity Bill,10245.63,Linked Bank,Pending,Utility,Lalitpur,Android
ESW100055,41994,12/5/2024 7:55,Electricity Bill,19841.69,Linked Bank,Success,Telecom,Lalitpur,iOS
ESW100056,15541,11/26/2024 11:22,Fund Transfer,10804.03,Wallet Balance,Success,Transport,Kathmandu,iOS
ESW100057,36920,3/3/2024 11:54,Fund Transfer,1493.64,Wallet Balance,Success,Others,Butwal,Android
ESW100058,27531,6/19/2024 18:28,QR Payment,6477.78,Linked Bank,Success,E-commerce,Kathmandu,iOS
ESW100059,2585,5/27/2024 13:57,Electricity Bill,15624.51,Wallet Balance,Success,Food Delivery,Chitwan,iOS
ESW100060,4943,3/21/2024 19:39,Electricity Bill,12587.68,Wallet Balance,Success,Food Delivery,Biratnagar,Web
ESW100061,24939,9/27/2024 14:46,Mobile Recharge,13694.76,Wallet Balance,Failed,Food Delivery,Pokhara,Web
ESW100062,20457,11/2/2024 22:23,Internet Bill,18440.03,Wallet Balance,Success,Others,Chitwan,Android
ESW100063,2021,10/18/2024 22:01,Fund Transfer,8903.42,Wallet Balance,Success,E-commerce,Butwal,Android
ESW100064,12653,9/16/2024 2:24,Electricity Bill,439.46,Wallet Balance,Success,Utility,Butwal,Android
ESW100065,44573,12/5/2024 22:43,Internet Bill,19802.3,Linked Bank,Success,Transport,Chitwan,iOS
ESW100066,14417,10/30/2024 14:59,Mobile Recharge,9118.83,Linked Bank,Success,Transport,Butwal,Android
ESW100067,41757,2/23/2024 2:00,Fund Transfer,1997.35,Linked Bank,Success,Telecom,Pokhara,Android
ESW100068,10692,7/18/2024 2:21,Mobile Recharge,10994.25,Wallet Balance,Success,Transport,Lalitpur,Android
ESW100069,46758,5/7/2024 3:33,Fund Transfer,11824.55,Wallet Balance,Success,Telecom,Biratnagar,Android
ESW100070,7873,11/2/2024 15:26,Electricity Bill,11308.45,Wallet Balance,Pending,Food Delivery,Pokhara,Android
ESW100071,6675,10/27/2024 8:59,Mobile Recharge,19300.11,Linked Bank,Success,Food Delivery,Lalitpur,Android
ESW100072,1161,8/30/2024 21:07,QR Payment,6426.73,Wallet Balance,Success,Food Delivery,Chitwan,Android
ESW100073,38065,3/15/2024 22:14,Internet Bill,738.54,Linked Bank,Success,Food Delivery,Kathmandu,Android
ESW100074,27557,8/7/2024 7:05,Internet Bill,18399.06,Debit Card,Success,Telecom,Butwal,Web
ESW100075,34763,12/19/2024 21:22,Fund Transfer,3865.21,Wallet Balance,Success,E-commerce,Lalitpur,Android
ESW100076,33606,10/30/2024 14:05,Fund Transfer,15001.52,Wallet Balance,Success,Food Delivery,Bhaktapur,Android
ESW100077,12534,7/31/2024 12:57,Fund Transfer,4119.99,Debit Card,Success,E-commerce,Biratnagar,iOS
ESW100078,30127,1/7/2024 8:40,Fund Transfer,16588.06,Wallet Balance,Success,Telecom,Pokhara,Android
ESW100079,41397,12/2/2024 0:47,Internet Bill,18132.33,Linked Bank,Success,Food Delivery,Butwal,Android
ESW100080,26851,7/21/2024 9:45,Electricity Bill,2151.87,Wallet Balance,Success,Food Delivery,Lalitpur,Android
ESW100081,2016,9/3/2024 12:05,Mobile Recharge,2988.13,Linked Bank,Failed,E-commerce,Butwal,Android
ESW100082,25253,5/6/2024 20:49,QR Payment,18509.51,Wallet Balance,Success,Transport,Butwal,Android
ESW100083,25276,3/15/2024 10:35,QR Payment,15425.55,Linked Bank,Success,Food Delivery,Butwal,Android
ESW100084,24247,5/31/2024 6:48,Electricity Bill,825.99,Linked Bank,Success,Transport,Butwal,Android
ESW100085,25300,1/15/2024 18:20,Mobile Recharge,3684.88,Linked Bank,Pending,Food Delivery,Lalitpur,Android
ESW100086,9529,2/27/2024 11:26,Mobile Recharge,8270.92,Wallet Balance,Pending,Utility,Chitwan,Android
ESW100087,18262,10/27/2024 14:15,Fund Transfer,17290.76,Wallet Balance,Failed,Others,Butwal,Android
ESW100088,10268,2/27/2024 0:02,Mobile Recharge,3063.6,Debit Card,Success,E-commerce,Lalitpur,Android
ESW100089,22271,5/20/2024 21:59,Fund Transfer,14496.6,Debit Card,Success,Others,Butwal,Android
ESW100090,13185,6/10/2024 15:43,QR Payment,1720.1,Wallet Balance,Success,Transport,Pokhara,iOS
ESW100091,22243,3/26/2024 4:42,QR Payment,9370.02,Linked Bank,Success,Utility,Kathmandu,Android
ESW100092,40099,4/12/2024 0:14,Mobile Recharge,14593.43,Linked Bank,Success,Others,Biratnagar,Android
ESW100093,9571,6/9/2024 6:47,QR Payment,1341.03,Wallet Balance,Success,Utility,Bhaktapur,Android
ESW100094,40976,7/22/2024 13:55,Fund Transfer,4124.56,Wallet Balance,Failed,Others,Chitwan,Android
ESW100095,39044,12/22/2024 2:40,Mobile Recharge,15846.59,Wallet Balance,Failed,E-commerce,Pokhara,Android
ESW100096,49984,11/10/2024 10:30,Electricity Bill,3312.2,Linked Bank,Success,Food Delivery,Kathmandu,Android
ESW100097,41774,1/23/2024 17:37,Fund Transfer,13367.34,Wallet Balance,Pending,Food Delivery,Kathmandu,Android
ESW100098,3568,8/27/2024 2:10,QR Payment,12861.62,Wallet Balance,Failed,Food Delivery,Butwal,Android
ESW100099,3027,9/8/2024 16:28,Mobile Recharge,10431.86,Wallet Balance,Success,Food Delivery,Bhaktapur,Android
ESW100100,3695,8/17/2024 23:02,Mobile Recharge,4074.13,Linked Bank,Success,Food Delivery,Kathmandu,Web
ESW100101,49190,9/11/2024 4:43,Internet Bill,8367.96,Wallet Balance,Success,E-commerce,Biratnagar,Web
ESW100102,6258,3/26/2024 5:12,QR Payment,12454.27,Linked Bank,Success,Transport,Butwal,Android
ESW100103,23002,11/6/2024 20:27,QR Payment,17640.4,Linked Bank,Failed,E-commerce,Bhaktapur,iOS
ESW100104,40504,1/17/2024 16:44,Mobile Recharge,15967.21,Debit Card,Success,Food Delivery,Chitwan,Android
ESW100105,34159,8/14/2024 0:29,Electricity Bill,12166.53,Wallet Balance,Success,E-commerce,Kathmandu,Android
ESW100106,14986,7/22/2024 22:46,QR Payment,4608,Linked Bank,Success,Food Delivery,Chitwan,Android
ESW100107,13666,3/7/2024 0:39,Fund Transfer,4373.15,Debit Card,Success,E-commerce,Butwal,Android
ESW100108,39660,9/5/2024 12:00,QR Payment,16287.05,Wallet Balance,Success,Food Delivery,Biratnagar,Android
ESW100109,4561,5/5/2024 23:54,QR Payment,13305.22,Wallet Balance,Success,Others,Lalitpur,Android
ESW100110,27854,3/31/2024 8:10,Mobile Recharge,7193.31,Wallet Balance,Success,Food Delivery,Bhaktapur,Android
ESW100111,39952,5/26/2024 0:21,Fund Transfer,19431.05,Linked Bank,Success,Utility,Biratnagar,Android
ESW100112,23662,4/22/2024 11:01,Mobile Recharge,17800.73,Wallet Balance,Success,Utility,Bhaktapur,iOS
ESW100113,9392,2/5/2024 10:42,Fund Transfer,13446.66,Linked Bank,Success,Others,Bhaktapur,Android
ESW100114,31535,4/1/2024 1:30,Fund Transfer,7416.13,Debit Card,Success,Telecom,Pokhara,Android
ESW100115,14067,5/2/2024 5:38,QR Payment,6209.69,Wallet Balance,Success,Others,Lalitpur,iOS
ESW100116,49033,5/16/2024 9:53,QR Payment,18790.71,Linked Bank,Success,E-commerce,Pokhara,Web
ESW100117,24599,10/8/2024 12:55,Mobile Recharge,8897.15,Wallet Balance,Success,Utility,Bhaktapur,Android
ESW100118,36222,9/11/2024 2:18,Mobile Recharge,16010.34,Wallet Balance,Success,Others,Biratnagar,iOS
ESW100119,12837,6/27/2024 6:04,Internet Bill,18797.46,Linked Bank,Failed,Telecom,Bhaktapur,Web
ESW100120,15039,3/16/2024 7:00,QR Payment,9865.53,Wallet Balance,Success,Food Delivery,Pokhara,Android
ESW100121,31818,11/11/2024 3:17,Fund Transfer,13079.51,Linked Bank,Failed,Telecom,Chitwan,Android
ESW100122,20115,2/7/2024 12:59,QR Payment,1770.79,Linked Bank,Success,Food Delivery,Pokhara,Android
ESW100123,11965,2/20/2024 20:43,Fund Transfer,13069,Wallet Balance,Success,Others,Bhaktapur,Android
ESW100124,25538,12/11/2024 12:33,Electricity Bill,4340.92,Wallet Balance,Success,Utility,Biratnagar,Android
ESW100125,43530,9/3/2024 9:21,Mobile Recharge,13426.98,Wallet Balance,Success,Telecom,Chitwan,Android
ESW100126,6056,1/29/2024 19:41,Mobile Recharge,2065.86,Linked Bank,Pending,Telecom,Pokhara,iOS
ESW100127,33482,5/17/2024 23:06,Fund Transfer,9929.4,Debit Card,Success,Food Delivery,Butwal,iOS
ESW100128,48716,11/30/2024 9:21,QR Payment,10444.29,Linked Bank,Success,Others,Lalitpur,Android
ESW100129,9110,6/28/2024 2:13,Electricity Bill,9696.21,Linked Bank,Success,E-commerce,Butwal,iOS
ESW100130,14773,4/25/2024 21:35,QR Payment,15146.65,Wallet Balance,Success,Utility,Kathmandu,Android
ESW100131,28266,10/8/2024 10:49,Electricity Bill,15102.69,Linked Bank,Success,Transport,Chitwan,Android
ESW100132,18412,7/2/2024 16:58,Electricity Bill,14142.24,Linked Bank,Success,Food Delivery,Chitwan,Web
ESW100133,34270,6/12/2024 1:48,Internet Bill,12651.03,Wallet Balance,Success,Others,Lalitpur,Android
ESW100134,7910,8/25/2024 4:36,Electricity Bill,18092.62,Linked Bank,Success,Utility,Biratnagar,Android
ESW100135,46453,7/22/2024 20:10,QR Payment,11533.99,Debit Card,Success,Utility,Kathmandu,Android
ESW100136,26446,7/3/2024 21:00,Internet Bill,6999.01,Wallet Balance,Success,E-commerce,Lalitpur,Android
ESW100137,1206,1/20/2024 10:16,Electricity Bill,1230.82,Linked Bank,Success,Telecom,Chitwan,Android
ESW100138,22518,12/18/2024 14:20,Fund Transfer,10739.51,Linked Bank,Success,Food Delivery,Chitwan,Android
ESW100139,23361,2/27/2024 2:20,QR Payment,4593.46,Wallet Balance,Failed,Utility,Chitwan,Web
ESW100140,24419,5/31/2024 12:29,Fund Transfer,7769.9,Linked Bank,Success,Utility,Lalitpur,iOS
ESW100141,49702,8/21/2024 1:38,Electricity Bill,1046.42,Wallet Balance,Success,Food Delivery,Butwal,Android
ESW100142,42523,5/4/2024 14:20,Mobile Recharge,12835.49,Linked Bank,Success,E-commerce,Lalitpur,Android
ESW100143,46151,2/29/2024 23:28,Mobile Recharge,17739.45,Wallet Balance,Success,Others,Lalitpur,iOS
ESW100144,23403,7/22/2024 8:11,Mobile Recharge,6536.56,Wallet Balance,Success,Telecom,Pokhara,iOS
ESW100145,19141,3/24/2024 9:23,QR Payment,16107.28,Linked Bank,Failed,Telecom,Chitwan,Android
ESW100146,15820,10/7/2024 18:58,Mobile Recharge,2569.78,Linked Bank,Success,Transport,Lalitpur,Android
ESW100147,41342,12/19/2024 11:28,Internet Bill,14476.6,Debit Card,Success,Telecom,Biratnagar,Android
ESW100148,7374,4/3/2024 9:42,Fund Transfer,1641.22,Debit Card,Success,Telecom,Lalitpur,Web
ESW100149,2678,6/25/2024 2:53,QR Payment,5209.69,Linked Bank,Success,Food Delivery,Bhaktapur,iOS
ESW100150,34827,7/10/2024 3:17,Mobile Recharge,7236.81,Debit Card,Success,Transport,Pokhara,iOS
ESW100151,17198,8/27/2024 2:48,Electricity Bill,3177.93,Linked Bank,Success,Transport,Bhaktapur,iOS
ESW100152,10914,4/5/2024 16:14,Electricity Bill,3730.72,Debit Card,Success,E-commerce,Pokhara,Android
ESW100153,28890,12/22/2024 13:53,Electricity Bill,13993.57,Wallet Balance,Success,Telecom,Bhaktapur,Android
ESW100154,23299,6/18/2024 4:30,Electricity Bill,1960.57,Wallet Balance,Success,Utility,Lalitpur,Android
ESW100155,44585,4/2/2024 8:30,Internet Bill,18681.45,Linked Bank,Success,Food Delivery,Biratnagar,Android
ESW100156,44689,6/7/2024 14:39,Mobile Recharge,15378.84,Wallet Balance,Pending,Others,Bhaktapur,iOS
ESW100157,43557,2/14/2024 12:01,Electricity Bill,7166.84,Wallet Balance,Success,Others,Lalitpur,Android
ESW100158,45020,8/19/2024 19:50,Mobile Recharge,12593.78,Wallet Balance,Success,Utility,Chitwan,Android
ESW100159,3693,3/27/2024 13:36,QR Payment,14402.35,Wallet Balance,Success,Transport,Chitwan,Android
ESW100160,30467,6/6/2024 11:41,Internet Bill,11909.96,Wallet Balance,Success,Transport,Butwal,Android
ESW100161,30723,9/1/2024 3:47,QR Payment,12384.23,Wallet Balance,Success,Telecom,Butwal,iOS
ESW100162,47699,10/15/2024 21:54,Mobile Recharge,18323.58,Wallet Balance,Success,Food Delivery,Biratnagar,iOS
ESW100163,4627,3/14/2024 0:45,Fund Transfer,17627.83,Wallet Balance,Failed,Food Delivery,Pokhara,Android
ESW100164,26939,12/2/2024 15:45,Electricity Bill,18280.41,Wallet Balance,Success,Telecom,Chitwan,Android
ESW100165,49925,1/14/2024 20:44,Mobile Recharge,17709.96,Linked Bank,Success,Telecom,Biratnagar,Web
ESW100166,43941,2/19/2024 20:43,Fund Transfer,13723.6,Wallet Balance,Success,Food Delivery,Biratnagar,iOS
ESW100167,22834,2/22/2024 9:52,Fund Transfer,9860.52,Wallet Balance,Success,Transport,Chitwan,Android
ESW100168,19047,12/25/2024 2:40,QR Payment,9773.3,Linked Bank,Pending,Utility,Pokhara,Android
ESW100169,27105,7/11/2024 15:08,Fund Transfer,15442.65,Linked Bank,Success,Others,Pokhara,iOS
ESW100170,11230,3/29/2024 10:54,Mobile Recharge,18482.89,Wallet Balance,Success,Utility,Lalitpur,Android
ESW100171,16707,6/30/2024 21:27,Electricity Bill,1806.79,Linked Bank,Failed,Transport,Bhaktapur,Android
ESW100172,22976,11/2/2024 14:53,Internet Bill,17542.68,Wallet Balance,Success,E-commerce,Lalitpur,Android
ESW100173,45262,10/10/2024 16:58,Mobile Recharge,17001.08,Wallet Balance,Success,Food Delivery,Bhaktapur,Android
ESW100174,24776,3/24/2024 5:10,Fund Transfer,1797.42,Wallet Balance,Success,Telecom,Lalitpur,Android
ESW100175,31080,7/29/2024 17:46,Internet Bill,13148.12,Wallet Balance,Success,E-commerce,Lalitpur,iOS
ESW100176,2306,7/17/2024 18:33,QR Payment,19439.21,Linked Bank,Success,Others,Bhaktapur,Android
ESW100177,7776,3/8/2024 14:28,Internet Bill,17040.57,Linked Bank,Success,Transport,Biratnagar,Android
ESW100178,28251,1/5/2024 9:16,Internet Bill,1303.71,Wallet Balance,Success,Food Delivery,Pokhara,Android
ESW100179,10474,5/16/2024 15:18,Mobile Recharge,18507.48,Wallet Balance,Success,E-commerce,Pokhara,Android
ESW100180,41294,5/3/2024 10:59,Mobile Recharge,3503.04,Wallet Balance,Success,E-commerce,Biratnagar,Android
ESW100181,22959,9/19/2024 2:08,Fund Transfer,1495.89,Wallet Balance,Success,Transport,Pokhara,Android
ESW100182,6530,7/17/2024 14:51,QR Payment,4595.39,Wallet Balance,Success,Telecom,Kathmandu,Android
ESW100183,30320,11/20/2024 16:01,Electricity Bill,9690.61,Wallet Balance,Success,Utility,Bhaktapur,Android
ESW100184,4748,11/22/2024 14:54,Fund Transfer,16313.74,Debit Card,Success,Food Delivery,Biratnagar,iOS
ESW100185,32968,11/25/2024 20:19,Fund Transfer,5379.03,Wallet Balance,Success,Utility,Pokhara,Android
ESW100186,33562,1/16/2024 4:45,QR Payment,7835.53,Linked Bank,Success,Transport,Chitwan,Android
ESW100187,14545,10/6/2024 6:51,Mobile Recharge,2864.51,Wallet Balance,Success,E-commerce,Butwal,iOS
ESW100188,1663,8/24/2024 18:45,Internet Bill,5866.45,Wallet Balance,Success,Utility,Bhaktapur,Android
ESW100189,35766,1/27/2024 12:59,Electricity Bill,18046.3,Wallet Balance,Failed,Others,Biratnagar,Android
ESW100190,8994,9/28/2024 0:33,Internet Bill,13631.83,Wallet Balance,Success,Utility,Lalitpur,Web
ESW100191,29021,8/22/2024 8:14,Electricity Bill,13494.78,Wallet Balance,Success,Transport,Biratnagar,Android
ESW100192,31303,5/9/2024 22:36,Internet Bill,5034.32,Linked Bank,Success,Utility,Bhaktapur,Android
ESW100193,4304,7/23/2024 9:37,Fund Transfer,2966.99,Wallet Balance,Success,Telecom,Kathmandu,Android
ESW100194,47576,5/25/2024 19:04,Mobile Recharge,17754.19,Wallet Balance,Success,Transport,Lalitpur,Android
ESW100195,40353,8/24/2024 12:36,Fund Transfer,18875.75,Linked Bank,Success,E-commerce,Chitwan,iOS
ESW100196,18675,8/5/2024 11:06,Fund Transfer,1118.97,Linked Bank,Success,Utility,Lalitpur,Android
ESW100197,45417,9/15/2024 16:54,QR Payment,10626.73,Wallet Balance,Success,Telecom,Chitwan,Android
ESW100198,24938,3/16/2024 7:28,Electricity Bill,8824.41,Debit Card,Success,Transport,Bhaktapur,Android
ESW100199,24664,1/22/2024 15:08,Mobile Recharge,14781.15,Linked Bank,Success,Transport,Biratnagar,Android
ESW100200,2636,11/23/2024 12:57,Internet Bill,6070.81,Wallet Balance,Success,Utility,Kathmandu,Web
ESW100201,21080,9/8/2024 12:36,Mobile Recharge,12430.52,Linked Bank,Success,Food Delivery,Lalitpur,iOS
ESW100202,28728,11/26/2024 14:34,Fund Transfer,1697.53,Wallet Balance,Success,Transport,Butwal,Android
ESW100203,27736,5/31/2024 22:32,Mobile Recharge,16467.93,Wallet Balance,Failed,Transport,Bhaktapur,iOS
ESW100204,29673,7/12/2024 15:37,Electricity Bill,4812.01,Linked Bank,Success,Transport,Butwal,Android
ESW100205,38505,7/15/2024 8:38,Mobile Recharge,6312.82,Wallet Balance,Success,Utility,Biratnagar,Android
ESW100206,48323,2/17/2024 17:23,Mobile Recharge,7595.95,Linked Bank,Success,E-commerce,Butwal,iOS
ESW100207,47645,6/12/2024 23:32,QR Payment,4171.99,Wallet Balance,Success,E-commerce,Pokhara,Android
ESW100208,1854,4/8/2024 1:56,QR Payment,16187.52,Wallet Balance,Success,Others,Kathmandu,Android
ESW100209,25548,2/16/2024 20:40,Internet Bill,1420.06,Wallet Balance,Failed,E-commerce,Biratnagar,Android
ESW100210,39623,4/2/2024 17:46,Mobile Recharge,18673.98,Wallet Balance,Success,Food Delivery,Kathmandu,Android
ESW100211,8392,8/15/2024 2:20,QR Payment,18615.32,Linked Bank,Success,Telecom,Kathmandu,Android
ESW100212,47717,10/22/2024 22:09,QR Payment,16555.88,Debit Card,Success,Food Delivery,Chitwan,Android
ESW100213,22556,9/8/2024 3:18,QR Payment,19045.31,Linked Bank,Success,Others,Butwal,Android
ESW100214,39559,11/6/2024 20:24,Internet Bill,15234.78,Wallet Balance,Success,Utility,Chitwan,Android
ESW100215,27309,9/2/2024 20:09,Mobile Recharge,11273.51,Wallet Balance,Success,Utility,Biratnagar,Android
ESW100216,22919,6/8/2024 22:31,Mobile Recharge,14446.35,Wallet Balance,Success,Others,Bhaktapur,Android
ESW100217,5931,8/25/2024 10:09,QR Payment,128.81,Wallet Balance,Success,Transport,Pokhara,Android
ESW100218,33970,2/3/2024 6:35,QR Payment,13724.21,Wallet Balance,Success,Telecom,Kathmandu,Android
ESW100219,45215,9/27/2024 10:19,Electricity Bill,888.44,Debit Card,Success,Others,Butwal,Android
ESW100220,13688,12/10/2024 2:34,Electricity Bill,17758.62,Wallet Balance,Success,Telecom,Biratnagar,Android
ESW100221,26342,3/19/2024 9:08,Fund Transfer,17935.69,Wallet Balance,Success,E-commerce,Kathmandu,Android
ESW100222,38157,9/24/2024 16:50,Fund Transfer,2330.68,Wallet Balance,Success,Utility,Kathmandu,Android
ESW100223,3327,6/27/2024 18:38,Fund Transfer,13608.61,Wallet Balance,Success,Others,Chitwan,Web
ESW100224,41772,9/29/2024 14:24,Fund Transfer,13379.47,Wallet Balance,Failed,Telecom,Bhaktapur,Android
ESW100225,41545,4/29/2024 12:37,Mobile Recharge,9986.73,Wallet Balance,Success,Transport,Butwal,Android
ESW100226,1197,5/24/2024 13:07,Electricity Bill,549.22,Wallet Balance,Success,Telecom,Bhaktapur,Android
ESW100227,24509,7/10/2024 7:13,Fund Transfer,2326.36,Wallet Balance,Success,Utility,Kathmandu,iOS
ESW100228,35698,12/14/2024 17:51,Fund Transfer,13202.55,Linked Bank,Success,Others,Kathmandu,Web
ESW100229,45542,9/3/2024 9:11,Mobile Recharge,10615.88,Wallet Balance,Success,Transport,Biratnagar,Android
ESW100230,16087,3/5/2024 9:45,Mobile Recharge,972.82,Wallet Balance,Pending,Telecom,Bhaktapur,Android
ESW100231,23671,1/3/2024 9:26,Fund Transfer,10375.26,Wallet Balance,Success,Transport,Kathmandu,iOS
ESW100232,26184,11/19/2024 14:41,Electricity Bill,16992.27,Wallet Balance,Success,Telecom,Kathmandu,Android
ESW100233,28848,9/2/2024 15:12,Internet Bill,17814.85,Wallet Balance,Success,Transport,Kathmandu,Android
ESW100234,43107,12/1/2024 17:07,Fund Transfer,13954.91,Linked Bank,Success,Transport,Biratnagar,Android
ESW100235,21666,3/3/2024 1:27,Fund Transfer,13269.75,Wallet Balance,Success,Food Delivery,Chitwan,Android
ESW100236,45357,9/15/2024 14:07,Fund Transfer,15393.68,Linked Bank,Failed,E-commerce,Kathmandu,Android
ESW100237,16708,7/30/2024 8:49,Electricity Bill,2711.61,Wallet Balance,Success,Food Delivery,Butwal,Android
ESW100238,27370,2/7/2024 19:45,Internet Bill,3844.39,Linked Bank,Success,E-commerce,Butwal,Android
